mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	decrescendo_hairpin	crescendo_hairpin	Ottava:8va
53	53	315/2	315/2	1.0	3/8	3/8	Chord	6/8	1	2	1/4		1/4	1	504									
53	53	156	156	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	505									
53	53	157	157	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	506									
53	53	315/2	315/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	507									
53	53	158	158	1.0	1/2	1/2	Chord	6/8	2	1	1/4		1/4	1	508									
54	54	159	159	0.0	0	0	Chord	6/8	1	1	0	grace16	1/16	1	509									
54	54	159	159	0.0	0	0	Chord	6/8	1	1	0	grace16	1/16	1	510									
54	54	159	159	0.0	0	0	Chord	6/8	1	1	0	grace16	1/16	1	511									
54	54	159	159	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	512				27					
54	54	160	160	0.0	1/4	1/4	StaffText	6/8	1	1	0							cresc.	27					
54	54	160	160	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	513				27					
54	54	641/4	641/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	514				27					
54	54	321/2	321/2	0.0	3/8	3/8	Spanner	6/8	1	1	0								27				9	
54	54	321/2	321/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	515				27				9	
54	54	323/2	323/2	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	516				27				9	
54	54	647/4	647/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	517								9	
54	54	159	159	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	518									
54	54	160	160	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	519									
54	54	321/2	321/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	520									
54	54	161	161	1.0	1/2	1/2	Chord	6/8	2	1	1/4		1/4	1	521									
55	55	162	162	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	522		ornamentShortTrill						9	
55	55	327/2	327/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	523								9	
55	55	329/2	329/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	524								9	
55	55	329/2	329/2	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	525								9	
55	55	162	162	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	526									
55	55	163	163	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	527									
55	55	327/2	327/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	528									
55	55	164	164	1.0	1/2	1/2	Chord	6/8	2	1	1/4		1/4	1	529									
56	56	165	165	0.0	0	0	Dynamic	6/8	1	1	0					ff								
56	56	165	165	0.0	0	0	Spanner	6/8	1	1	0													
56	56	165	165	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	530				28					
56	56	166	166	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	531				28					
56	56	665/4	665/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	532				28					
56	56	333/2	333/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	533				28					
56	56	335/2	335/2	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	534				28					
56	56	671/4	671/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	535									
56	56	165	165	3.0	0	0	Chord	6/8	1	2	3/4		1/2	3/2	536									
56	56	165	165	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	537									
56	56	166	166	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	538									
56	56	333/2	333/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	539									
56	56	167	167	1.0	1/2	1/2	Chord	6/8	2	1	1/4		1/4	1	540									
57	57	168	168	0.0	0	0	Spanner	6/8	1	1	0											12		
57	57	168	168	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	541				29			12		
57	57	339/2	339/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	542				29			12		
57	57	341/2	341/2	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	543				29			12		
57	57	683/4	683/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	544							12		
57	57	168	168	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	545									
57	57	169	169	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	546									
57	57	339/2	339/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	547									
57	57	170	170	0.75	1/2	1/2	Chord	6/8	2	1	3/16		1/8	3/2	548									
57	57	683/4	683/4	0.25	11/16	11/16	Chord	6/8	2	1	1/16		1/16	1	549									
58	58	171	171	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	550				30			12		
58	58	345/2	345/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	551				30			12		
58	58	347/2	347/2	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	552				30			12		
58	58	695/4	695/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	553							12		
58	58	171	171	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	554									
58	58	172	172	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	555									
58	58	345/2	345/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	556									
58	58	173	173	0.75	1/2	1/2	Chord	6/8	2	1	3/16		1/8	3/2	557									
58	58	695/4	695/4	0.25	11/16	11/16	Chord	6/8	2	1	1/16		1/16	1	558									
59	59	174	174	0.0	0	0	Dynamic	6/8	1	1	0					p								
59	59	174	174	0.0	0	0	Spanner	6/8	1	1	0													
59	59	174	174	0.0	0	0	Spanner	6/8	1	1	0											13		
59	59	174	174	3.0	0	0	Chord	6/8	1	1	3/4		1/2	3/2	559							13		
59	59	174	174	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	560									
59	59	175	175	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	561									
59	59	351/2	351/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	562									
59	59	176	176	1.0	1/2	1/2	Chord	6/8	2	1	1/4		1/4	1	563									
60	60	177	177	0.0	0	0	Dynamic	6/8	1	1	0					pp								
60	60	177	177	0.0	0	0	Spanner	6/8	1	1	0													
60	60	177	177	3.0	0	0	Chord	6/8	1	1	3/4		1/2	3/2	564									
60	60	177	177	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	565									
60	60	178	178	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	566									
60	60	357/2	357/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	567									
